X1,X2,X3,X4,X5,Y
83,60,0.0,8.28,0.0,71.0
84,63,0.0,12.3,0.0,72.0
82,67,0.0,12.3,0.0,74.0
75,54,0.03,5.37,0.0,65.0
76,51,0.0,6.49,0.0,63.0
75,56,0.0,9.4,0.0,66.0
56,41,1.39,9.17,0.0,51.0
59,39,0.0,6.93,0.0,48.0
66,34,0.0,2.91,0.0,49.0
75,43,0.0,4.92,0.0,59.0
83,53,0.0,4.47,0.0,67.0
83,59,0.0,6.49,0.0,71.0
84,59,0.0,8.05,0.0,72.0
85,59,0.0,8.5,0.0,73.0
88,60,0.06,8.72,0.0,72.0
72,50,0.0,5.37,0.0,61.0
71,45,0.0,4.25,0.0,59.0
71,45,0.0,6.04,0.0,58.0
72,55,0.0,3.58,0.0,63.0
83,50,0.82,6.26,0.0,65.0
84,64,0.0,6.71,0.0,71.0
89,65,0.0,8.72,0.0,75.0
88,67,0.0,8.72,0.0,76.0
76,62,0.0,8.5,0.0,72.0
85,62,0.97,7.83,0.0,69.0
75,53,0.02,8.72,0.0,66.0
53,47,0.01,9.4,0.0,51.0
71,44,0.0,7.16,0.0,55.0
75,48,0.0,9.4,0.0,60.0
77,53,0.0,11.18,0.0,64.0
70,62,0.07,10.74,0.0,65.0
78,63,0.0,6.93,0.0,68.0
80,64,0.0,2.46,0.0,71.0
86,61,0.0,5.37,0.0,73.0
87,64,0.01,7.38,0.0,75.0
84,53,0.0,4.47,0.0,70.0
87,55,0.0,6.26,0.0,72.0
92,70,0.01,9.4,0.0,80.0
96,66,0.0,10.51,0.0,81.0
93,69,0.29,7.61,0.0,82.0
90,69,0.0,8.95,0.0,76.0
85,67,1.29,6.04,0.0,74.0
80,61,0.0,8.28,0.0,70.0
68,60,0.0,7.83,0.0,63.0
82,61,0.01,5.82,0.0,69.0
81,68,1.12,10.74,0.0,75.0
82,61,0.62,2.46,0.0,72.0
88,59,0.0,2.68,0.0,73.0
91,66,0.0,2.91,0.0,79.0
92,68,0.0,4.03,0.0,80.0
94,69,0.0,2.68,0.0,81.0
94,72,0.0,5.37,0.0,82.0
84,66,0.0,5.14,0.0,78.0
84,63,0.0,5.82,0.0,74.0
84,57,0.0,5.82,0.0,73.0
85,59,0.0,3.8,0.0,73.0
89,66,0.0,5.82,0.0,76.0
92,72,0.13,8.28,0.0,81.0
90,67,0.0,7.61,0.0,79.0
84,64,0.0,2.91,0.0,74.0
88,62,0.0,4.92,0.0,74.0
90,70,0.0,6.04,0.0,79.0
99,72,0.0,6.49,0.0,84.0
95,79,0.0,6.71,0.0,86.0
93,73,0.0,4.47,0.0,83.0
92,71,0.75,8.95,0.0,81.0
98,71,0.14,5.59,0.0,82.0
88,64,0.0,5.37,0.0,77.0
81,55,0.0,4.7,0.0,71.0
82,55,0.0,2.01,0.0,69.0
90,61,0.0,2.01,0.0,73.0
100,63,0.18,5.37,0.0,80.0
89,70,0.02,6.49,0.0,79.0
91,69,0.0,5.59,0.0,78.0
92,67,0.0,4.92,0.0,80.0
96,69,0.0,5.59,0.0,82.0
93,72,0.08,8.05,0.0,81.0
86,71,0.0,6.93,0.0,77.0
86,68,0.31,5.14,0.0,76.0
92,69,0.0,4.7,0.0,79.0
94,72,0.0,6.93,0.0,82.0
96,73,0.0,5.82,0.0,81.0
99,73,0.0,4.25,0.0,84.0
94,73,0.04,6.71,0.0,84.0
98,75,0.0,6.26,0.0,85.0
102,71,0.0,8.05,0.0,84.0
102,75,0.3,5.14,0.0,83.0
92,76,0.41,4.47,0.0,81.0
96,73,0.4,6.71,0.0,81.0
73,66,0.83,7.83,0.0,71.0
84,64,0.0,4.7,0.0,72.0
94,70,0.0,9.17,0.0,81.0
90,71,0.63,6.93,0.0,81.0
90,70,0.0,2.91,0.0,77.0
92,70,2.61,5.14,0.0,79.0
90,69,0.37,3.58,0.0,77.0
93,70,0.0,7.83,0.0,80.0
94,73,0.18,8.05,0.0,83.0
92,74,0.0,7.16,0.0,82.0
95,72,0.0,8.95,0.0,83.0
89,74,0.65,9.4,0.0,80.0
96,73,0.0,4.03,0.0,83.0
97,73,0.0,5.59,0.0,83.0
96,73,0.0,6.04,0.0,82.0
92,74,0.0,10.51,0.0,80.0
88,73,0.51,7.16,0.0,79.0
95,74,0.46,7.83,0.0,81.0
96,75,0.11,6.71,0.0,82.0
95,75,0.15,6.04,0.0,84.0
92,75,0.0,3.8,0.0,82.0
91,76,0.82,5.14,0.0,82.0
92,75,0.05,8.28,0.0,82.0
94,72,0.0,4.92,0.0,83.0
94,72,0.0,2.01,0.0,83.0
95,76,0.0,6.04,0.0,85.0
94,77,0.0,7.61,0.0,85.0
93,75,0.07,6.04,0.0,84.0
93,73,0.0,2.91,0.0,82.0
95,74,0.0,7.61,0.0,82.0
97,75,0.0,7.61,0.0,84.0
97,75,0.0,7.61,0.0,84.0
90,74,0.0,6.26,0.0,81.0
84,64,0.02,5.37,0.0,76.0
86,61,0.0,4.92,0.0,73.0
88,63,0.0,3.8,0.0,74.0
81,67,0.05,5.37,0.0,74.0
79,66,0.01,6.04,0.0,71.0
84,65,0.0,5.59,0.0,74.0
88,62,0.0,3.8,0.0,74.0
84,63,0.0,4.03,0.0,75.0
87,69,0.01,2.91,0.0,76.0
83,69,0.56,4.92,0.0,75.0
88,68,0.07,5.82,0.0,77.0
89,70,0.0,2.91,0.0,78.0
91,68,0.0,2.24,0.0,78.0
91,68,0.07,1.79,0.0,77.0
93,65,0.0,2.46,0.0,77.0
96,70,0.0,2.91,0.0,80.0
93,69,0.0,4.47,0.0,80.0
93,69,0.0,4.25,0.0,81.0
95,72,0.0,6.49,0.0,82.0
93,67,0.0,3.8,0.0,80.0
91,64,0.0,2.91,0.0,77.0
95,63,0.0,3.36,0.0,78.0
92,70,0.02,5.14,0.0,81.0
94,70,0.0,4.7,0.0,81.0
89,70,0.0,6.04,0.0,80.0
90,73,0.27,5.14,0.0,80.0
87,70,0.28,3.58,0.0,76.0
81,66,0.0,6.71,0.0,74.0
83,62,0.0,6.93,0.0,72.0
83,69,0.48,7.61,0.0,74.0
91,74,0.13,4.25,0.0,78.0
92,71,0.17,6.71,0.0,81.0
86,62,0.0,3.58,0.0,76.0
81,59,0.0,3.8,0.0,69.0
83,58,0.0,4.25,0.0,69.0
85,60,0.0,2.91,0.0,72.0
84,59,0.0,3.8,0.0,72.0
90,60,0.0,1.57,0.0,73.0
93,63,0.0,2.01,0.0,76.0
91,65,0.0,3.13,0.0,77.0
96,64,0.0,2.24,0.0,78.0
98,66,0.0,7.61,0.0,79.0
75,47,0.0,5.37,0.0,67.0
77,47,0.0,3.58,0.0,61.0
84,60,0.0,10.51,0.0,71.0
87,59,0.0,3.58,0.0,73.0
81,53,0.0,3.13,0.0,67.0
72,47,0.0,5.82,0.0,62.0
69,54,0.0,14.99,0.0,61.0
67,56,3.35,19.91,0.0,60.0
66,58,0.01,7.16,0.0,62.0
66,53,0.14,5.59,0.0,59.0
68,51,0.01,9.4,0.0,58.0
72,49,0.0,5.14,0.0,58.0
76,45,0.0,2.68,0.0,59.0
83,51,0.0,2.24,0.0,65.0
84,54,0.0,2.24,0.0,67.0
67,47,0.0,5.37,0.0,62.0
72,42,0.0,2.24,0.0,55.0
74,49,0.0,2.68,0.0,60.0
73,43,0.0,1.57,0.0,58.0
78,49,0.02,4.92,0.0,61.0
79,62,0.08,5.59,0.0,69.0
73,50,0.0,2.91,0.0,65.0
80,46,0.0,6.04,0.0,61.0
82,55,0.0,6.71,0.0,67.0
80,59,0.58,4.92,0.0,68.0
59,39,0.0,5.37,0.0,53.0
60,34,0.0,3.8,0.0,46.0
67,35,0.0,3.58,0.0,49.0
71,36,0.0,1.12,0.0,52.0
74,40,0.0,2.91,0.0,55.0
70,49,0.0,3.36,0.0,58.0
77,49,0.0,1.79,0.0,61.0
73,49,0.0,2.91,0.0,59.0
70,55,0.0,3.8,0.0,63.0
66,50,0.0,6.49,0.0,59.0
67,47,0.0,8.05,0.0,55.0
64,54,0.01,7.83,0.0,58.0
66,53,0.0,3.36,0.0,58.0
71,57,0.43,3.58,0.0,63.0
78,57,0.08,2.68,0.0,69.0
72,53,0.0,3.13,0.0,62.0
73,53,0.0,4.92,0.0,62.0
78,54,0.0,4.47,0.0,63.0
83,64,0.0,8.05,0.0,71.0
83,67,0.0,6.04,0.0,74.0
84,65,0.0,2.91,0.0,73.0
68,50,0.0,11.63,0.0,64.0
67,47,0.0,8.95,0.0,55.0
71,54,0.12,10.51,0.0,61.0
83,66,0.71,12.97,0.0,72.0
74,63,0.01,8.5,0.0,69.0
66,38,0.0,6.71,0.0,57.0
52,31,0.0,3.8,0.0,42.0
50,39,0.39,6.49,0.0,44.0
59,42,0.0,4.03,0.0,47.0
52,31,0.0,2.68,0.0,44.0
54,26,0.0,3.13,0.0,38.0
57,30,0.0,3.36,0.0,42.0
48,28,0.0,3.58,0.0,44.0
57,26,0.0,1.12,0.0,38.0
61,32,0.0,0.45,0.0,44.0
69,36,0.0,2.24,0.0,51.0
66,36,0.0,2.68,0.0,49.0
67,49,1.63,4.03,0.0,56.0
67,36,0.0,2.24,0.0,52.0
73,51,1.33,11.41,0.0,58.0
67,45,0.0,4.92,0.0,59.0
64,39,0.0,4.92,0.0,51.0
66,46,0.68,6.93,0.0,56.0
52,30,0.0,3.8,0.0,46.0
61,25,0.0,2.68,0.0,40.0
63,49,0.24,6.71,0.0,56.0
55,37,0.0,1.34,0.0,49.0
56,30,0.0,2.01,0.0,42.0
60,48,0.02,1.12,0.0,52.0
65,57,0.28,5.37,0.0,60.0
63,55,0.0,5.82,0.0,62.0
55,44,0.04,6.26,0.0,52.0
50,44,0.0,5.14,0.0,47.0
55,44,0.0,2.24,0.0,48.0
51,34,0.0,4.03,0.0,46.0
50,30,0.0,3.13,0.0,39.0
45,28,0.35,2.24,0.0,37.0
46,39,1.14,7.16,0.0,42.0
55,34,0.0,6.71,0.0,43.0
51,32,0.0,4.92,0.0,40.0
50,27,0.0,3.8,0.0,39.0
50,25,0.0,2.01,0.0,37.0
40,28,0.0,2.24,0.0,35.0
46,27,0.02,5.14,0.0,37.0
52,41,1.19,8.05,0.0,44.0
50,17,0.01,17.22,0.0,40.0
29,10,0.0,11.41,0.0,19.0
40,18,0.0,5.59,0.0,27.0
41,15,0.0,0.67,0.0,28.0
51,25,0.0,1.34,0.0,34.0
57,24,0.0,2.68,0.0,37.0
66,29,0.0,2.68,0.0,44.0
72,35,0.0,2.91,0.0,51.0
67,54,0.35,4.92,0.0,59.0
66,48,0.0,4.47,0.0,59.0
63,43,0.0,2.91,0.0,50.0
73,52,0.0,10.07,0.0,59.0
68,61,0.54,10.96,0.0,65.0
70,47,0.0,6.93,0.0,62.0
59,40,0.0,4.25,0.0,50.0
54,33,0.0,1.79,0.0,43.0
41,31,0.12,3.58,0.0,38.0
55,32,0.04,3.8,0.0,44.0
59,29,0.0,2.91,0.0,41.0
62,32,0.0,4.7,0.0,45.0
68,53,0.38,9.17,0.0,58.0
57,43,0.15,9.17,0.0,55.0
45,33,0.01,7.61,0.0,42.0
52,29,0.0,3.36,0.0,38.0
58,25,0.0,2.91,0.0,39.0
52,45,0.14,8.5,0.0,49.0
69,50,0.0,7.61,0.0,56.0
73,52,0.0,12.08,0.0,61.0
63,41,0.0,7.61,0.0,58.0
51,32,0.0,1.79,0.0,43.0
46,37,0.71,4.92,0.0,41.0
55,34,0.08,7.16,0.0,46.0
58,29,0.0,2.46,0.0,41.0
65,36,0.48,9.62,0.0,45.0
61,38,0.02,6.49,0.0,53.0
52,30,0.0,5.14,0.0,42.0
62,30,0.0,5.14,0.0,43.0
62,36,0.04,4.92,0.0,49.0
67,50,0.29,2.46,0.0,55.0
59,50,0.11,5.59,0.0,55.0
53,40,0.18,6.93,0.0,47.0
43,38,0.44,3.8,0.0,40.0
49,30,0.0,6.26,0.0,44.0
43,23,0.0,6.04,0.0,33.0
55,32,0.0,5.82,0.0,40.0
64,37,0.0,5.37,0.0,52.0
66,34,0.0,6.49,0.0,49.0
75,43,0.0,4.25,0.0,56.0
75,51,0.0,10.51,0.0,61.0
75,56,0.07,6.93,0.0,67.0
59,46,0.01,7.16,0.0,55.0
46,38,1.33,9.17,0.0,44.0
67,36,0.02,4.92,0.0,49.0
70,34,0.0,4.03,0.0,52.0
76,50,0.0,9.4,0.0,60.0
78,55,0.0,12.08,0.0,65.0
72,40,0.2,12.97,0.0,66.0
54,29,0.0,2.68,0.0,42.0
60,32,0.01,7.61,0.0,45.0
60,48,0.0,5.59,0.0,53.0
77,49,0.0,5.37,0.0,60.0
81,47,0.0,8.72,0.0,63.0
85,63,0.13,12.08,0.0,72.0
72,58,0.0,6.49,0.0,66.0
59,46,0.12,4.92,0.0,53.0
57,47,0.0,6.04,0.0,50.0
69,45,0.01,7.38,0.0,54.0
79,54,0.0,7.16,0.0,69.0
71,49,0.0,4.47,0.0,58.0
67,58,0.62,2.46,0.0,62.0
74,58,0.14,10.51,0.0,62.0
70,49,0.0,8.95,0.0,66.0
69,37,0.0,1.34,0.0,54.0
74,42,0.0,6.26,0.0,57.0
75,48,0.0,9.17,0.0,64.0
61,39,0.0,5.37,0.0,51.0
63,33,0.0,2.24,0.0,47.0
54,47,0.2,6.93,0.0,51.0
56,40,0.0,8.28,0.0,49.0
41,35,0.57,5.82,0.0,40.0
59,40,0.01,5.82,0.0,45.0
51,31,0.0,8.72,0.0,43.0
56,30,0.0,5.14,0.0,41.0
68,28,0.0,6.26,0.0,46.0
70,49,0.17,14.54,0.0,59.0
61,47,0.2,5.59,0.0,55.0
50,36,0.0,4.7,0.0,46.0
55,29,0.0,3.8,0.0,41.0
65,28,0.0,2.68,0.0,45.0
60,48,0.01,5.82,0.0,53.0
81,53,0.0,12.3,0.0,62.0
87,59,0.0,10.74,0.0,71.0
76,55,0.06,11.41,0.0,67.0
66,56,0.22,2.91,0.0,63.0
79,59,0.54,7.38,0.0,65.0
70,49,0.28,4.92,0.0,62.0
62,44,0.04,5.82,0.0,52.0
68,39,0.0,5.14,0.0,53.0
70,51,0.04,10.07,0.0,60.0
78,64,0.02,19.46,0.0,69.0
68,46,0.0,3.58,0.0,61.0
75,46,0.0,7.61,0.0,59.0
83,59,0.0,4.25,0.0,68.0
87,63,0.0,8.05,0.0,74.0
87,69,0.0,9.17,0.0,76.0
69,45,2.02,10.07,0.0,60.0
48,42,1.42,10.29,0.0,46.0
63,41,0.02,11.18,0.0,49.0
65,36,0.0,6.26,0.0,51.0
75,37,0.0,3.58,0.0,55.0
82,47,0.0,5.82,0.0,64.0
83,51,0.0,7.16,0.0,67.0
81,58,1.73,3.13,0.0,68.0
79,62,0.0,6.49,0.0,68.0
82,57,0.0,8.05,0.0,68.0
71,51,0.0,9.62,0.0,67.0
78,42,0.0,7.16,0.0,62.0
85,50,0.0,2.91,0.0,68.0
86,58,0.0,6.93,0.0,72.0
85,60,0.0,9.62,0.0,73.0
76,53,0.66,7.16,0.0,67.0
74,44,0.0,3.36,0.0,59.0
67,48,0.0,5.82,0.0,59.0
69,43,0.0,3.58,0.0,56.0
71,48,0.03,3.58,0.0,60.0
62,58,0.31,6.71,0.0,60.0
79,61,0.27,6.26,0.0,67.0
79,56,0.0,3.58,0.0,65.0
70,55,1.36,4.92,0.0,66.0
69,45,0.0,11.41,0.0,58.0
71,46,0.0,9.62,0.0,59.0
64,44,0.0,7.61,0.0,57.0
70,43,0.0,4.47,0.0,56.0
75,46,0.0,2.46,0.0,61.0
81,51,0.0,1.79,0.0,66.0
83,55,0.0,10.51,0.0,69.0
85,65,0.0,5.82,0.0,74.0
87,63,0.0,6.93,0.0,76.0
78,54,0.0,5.82,0.0,67.0
84,54,0.0,5.82,0.0,69.0
86,60,0.0,9.17,0.0,74.0
86,64,0.07,9.17,0.0,74.0
82,64,0.26,6.93,0.0,74.0
75,62,0.0,4.25,0.0,69.0
86,66,0.57,12.53,0.0,73.0
82,66,0.02,7.16,0.0,74.0
75,60,0.0,9.17,0.0,68.0
70,58,0.15,7.38,0.0,64.0
80,59,0.0,5.14,0.0,68.0
78,58,0.01,4.7,0.0,69.0
82,52,0.0,6.04,0.0,67.0
79,56,0.0,9.84,0.0,68.0
78,53,0.0,6.71,0.0,65.0
72,52,0.0,8.5,0.0,62.0
71,55,0.0,12.53,0.0,63.0
62,57,0.33,11.63,0.0,60.0
69,58,0.24,11.18,0.0,62.0
72,62,0.06,3.8,0.0,68.0
75,63,0.01,8.5,0.0,69.0
81,63,0.02,6.71,0.0,69.0
80,59,0.03,5.82,0.0,69.0
84,62,0.0,4.92,0.0,73.0
89,59,0.0,6.71,0.0,74.0
73,61,0.0,8.05,0.0,68.0
83,57,0.0,4.92,0.0,69.0
84,61,0.0,4.25,0.0,72.0
73,59,0.03,3.8,0.0,67.0
80,58,0.0,3.8,0.0,68.0
82,50,0.0,3.13,0.0,67.0
89,54,0.0,3.58,0.0,71.0
91,63,0.0,8.72,0.0,76.0
90,67,0.01,9.84,0.0,77.0
87,61,0.0,4.7,0.0,74.0
90,58,0.0,10.74,0.0,74.0
91,67,0.0,3.8,0.0,78.0
94,68,0.04,5.82,0.0,78.0
89,60,0.0,3.36,0.0,75.0
94,58,0.0,2.68,0.0,76.0
90,70,0.29,5.82,0.0,78.0
78,69,0.76,8.05,0.0,73.0
74,67,0.01,9.17,0.0,70.0
79,66,1.06,5.37,0.0,71.0
87,70,0.58,7.16,0.0,77.0
89,69,0.0,4.92,0.0,77.0
92,69,0.0,5.14,0.0,80.0
94,73,0.0,11.18,0.0,83.0
89,67,0.0,6.93,0.0,80.0
89,67,0.0,2.24,0.0,78.0
89,66,0.0,2.68,0.0,77.0
90,70,0.31,4.92,0.0,79.0
92,71,0.04,6.49,0.0,80.0
96,70,0.0,7.38,0.0,80.0
96,79,0.0,10.07,0.0,86.0
95,77,0.0,5.37,0.0,85.0
92,74,0.05,3.8,0.0,82.0
92,73,0.0,2.91,0.0,80.0
96,73,0.39,4.47,0.0,83.0
90,72,0.07,2.46,0.0,79.0
89,71,0.88,3.8,0.0,77.0
88,71,0.0,1.34,0.0,77.0
92,67,0.0,2.68,0.0,79.0
94,66,0.0,3.36,0.0,80.0
95,74,0.0,8.72,0.0,84.0
88,73,1.39,8.28,0.0,81.0
92,73,0.0,7.38,0.0,81.0
92,73,0.0,7.16,0.0,83.0
90,69,0.0,2.01,0.0,80.0
94,69,0.0,3.8,0.0,81.0
89,75,0.62,6.71,0.0,83.0
92,73,0.0,3.58,0.0,82.0
93,74,0.0,4.92,0.0,83.0
84,70,0.0,4.7,0.0,78.0
91,67,0.01,3.8,0.0,78.0
91,70,0.84,4.47,0.0,79.0
94,71,0.0,3.36,0.0,82.0
97,72,0.0,3.36,0.0,85.0
97,76,0.0,9.62,0.0,86.0
97,77,0.0,10.29,0.0,87.0
95,78,0.0,10.51,0.0,85.0
90,74,0.0,5.82,0.0,83.0
91,68,1.25,3.8,0.0,79.0
87,68,0.0,6.71,0.0,76.0
85,62,0.0,4.03,0.0,75.0
78,71,0.0,5.14,0.0,74.0
80,71,0.09,3.13,0.0,75.0
92,69,0.0,3.36,0.0,78.0
95,71,0.04,5.59,0.0,82.0
90,72,0.38,7.61,0.0,79.0
90,72,0.0,6.93,0.0,78.0
90,68,0.0,3.13,0.0,79.0
87,73,0.43,7.61,0.0,79.0
88,67,0.0,2.46,0.0,78.0
95,69,0.0,3.8,0.0,81.0
96,75,0.0,4.7,0.0,85.0
98,76,0.0,6.71,0.0,86.0
100,75,0.03,8.72,0.0,85.0
93,73,0.0,3.36,0.0,80.0
92,73,0.01,6.71,0.0,82.0
93,70,0.0,5.37,0.0,82.0
90,64,0.0,4.25,0.0,78.0
97,66,0.0,2.46,0.0,80.0
97,72,0.0,4.03,0.0,85.0
95,71,0.0,4.7,0.0,82.0
87,67,0.0,6.71,0.0,79.0
96,67,0.0,7.61,0.0,79.0
97,73,0.0,5.14,0.0,84.0
97,76,0.0,4.25,0.0,86.0
93,76,0.16,6.93,0.0,84.0
92,75,0.02,4.47,0.0,80.0
94,74,0.22,3.8,0.0,80.0
87,73,0.25,5.37,0.0,78.0
82,61,0.2,9.62,0.0,75.0
83,58,0.0,4.7,0.0,70.0
87,57,0.0,2.46,0.0,72.0
96,61,0.0,2.46,0.0,76.0
99,68,0.0,3.13,0.0,82.0
98,70,0.0,2.91,0.0,83.0
102,73,0.0,2.91,0.0,86.0
102,74,0.0,5.14,0.0,87.0
97,69,0.42,3.8,0.0,82.0
75,69,1.87,3.8,0.0,73.0
89,69,0.0,2.91,0.0,76.0
92,68,0.0,2.24,0.0,77.0
94,68,0.02,4.47,0.0,79.0
88,69,0.0,2.91,0.0,77.0
86,65,0.0,7.16,0.0,76.0
79,56,0.0,4.92,0.0,70.0
86,52,0.0,3.58,0.0,68.0
77,63,0.35,4.25,0.0,71.0
82,60,0.01,3.13,0.0,70.0
84,54,0.0,1.57,0.0,68.0
86,62,0.0,2.24,0.0,72.0
84,61,0.0,6.04,0.0,71.0
69,62,0.43,11.41,0.0,67.0
63,59,2.38,11.41,0.0,62.0
83,61,0.0,4.7,0.0,69.0
85,66,0.0,3.36,0.0,74.0
73,65,0.0,7.16,0.0,69.0
68,62,0.0,7.61,0.0,65.0
77,61,0.0,7.83,0.0,66.0
74,60,0.0,4.47,0.0,67.0
77,58,0.0,4.03,0.0,67.0
81,58,0.0,3.8,0.0,68.0
84,59,0.0,4.47,0.0,69.0
83,58,0.0,2.24,0.0,70.0
82,58,0.0,3.8,0.0,69.0
83,57,0.0,3.58,0.0,68.0
80,63,0.0,1.57,0.0,70.0
74,52,0.0,4.7,0.0,67.0
66,42,0.0,4.25,0.0,56.0
72,41,0.0,6.71,0.0,56.0
76,50,0.0,3.36,0.0,62.0
72,53,0.0,1.57,0.0,64.0
77,56,0.02,2.46,0.0,65.0
81,52,0.0,3.36,0.0,65.0
68,61,1.62,4.47,0.0,66.0
66,52,0.0,4.7,0.0,59.0
64,48,0.0,2.46,0.0,56.0
68,46,0.0,1.57,0.0,56.0
71,52,0.0,2.68,0.0,61.0
73,46,0.0,4.7,0.0,59.0
72,53,0.46,6.93,0.0,62.0
70,50,0.0,7.61,0.0,58.0
72,49,0.0,5.82,0.0,61.0
69,41,0.0,2.68,0.0,56.0
73,38,0.0,0.89,0.0,53.0
78,44,0.0,1.57,0.0,58.0
80,53,0.0,2.24,0.0,65.0
82,56,0.0,4.47,0.0,68.0
86,58,0.0,3.36,0.0,70.0
83,61,0.0,6.71,0.0,71.0
85,61,0.0,9.62,0.0,71.0
63,44,0.06,8.72,0.0,56.0
51,36,0.0,5.82,0.0,45.0
56,28,0.0,1.79,0.0,41.0
65,29,0.0,0.89,0.0,44.0
74,32,0.0,1.12,0.0,50.0
75,38,0.0,1.12,0.0,54.0
75,42,0.0,3.8,0.0,58.0
81,49,0.0,5.59,0.0,64.0
79,50,0.0,4.25,0.0,65.0
83,56,0.0,6.71,0.0,68.0
70,52,0.0,10.51,0.0,64.0
56,48,0.02,4.92,0.0,52.0
63,43,0.0,8.05,0.0,55.0
65,33,0.0,2.46,0.0,49.0
68,37,0.0,2.91,0.0,51.0
60,41,0.0,2.68,0.0,51.0
73,41,0.0,2.68,0.0,55.0
75,48,0.0,2.24,0.0,60.0
75,47,0.0,3.8,0.0,66.0
63,35,0.0,1.79,0.0,51.0
65,33,0.0,5.82,0.0,48.0
68,50,0.51,10.74,0.0,55.0
69,47,0.91,4.7,0.0,63.0
60,38,0.0,2.24,0.0,50.0
56,37,0.0,2.91,0.0,46.0
50,37,0.0,9.4,0.0,45.0
50,38,0.0,4.92,0.0,43.0
56,39,0.05,5.82,0.0,47.0
51,29,0.0,5.37,0.0,41.0
48,23,0.0,4.03,0.0,35.0
